STBA,Paragraph,Section,Lemma,Lemma_Witnesses,Lemma_Sources,Lemma_Annotations,Reading_1,Reading_1_Witnesses,Reading_1_Sources,Reading_1_Annotations,Reading_2,Reading_2_Witnesses,Reading_2_Sources,Reading_2_Annotations,Reading_3,Reading_3_Witnesses,Reading_3_Sources,Reading_3_Annotations,Reading_4,Reading_4_Witnesses,Reading_4_Sources,Reading_4_Annotations,Reading_5,Reading_5_Witnesses,Reading_5_Sources,Reading_5_Annotations,Reading_6,Reading_6_Witnesses,Reading_6_Sources,Reading_6_Annotations,Reading_7,Reading_7_Witnesses,Reading_7_Sources,Reading_7_Annotations,General_Comment,Omissions,Complications
,34,1,prouincias,U S T V,,et M supra lineam,regiones,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,2,turpe,M U,,(cf. BAfr 31.9),turpem,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,34,4,legioni,ed.pr.,,,leg ,M U S T ,,,legiones,V,,,,,,,,,,,,,,,,,,,,,,,,,
,34,4,C,M U S T V,,(u. 38.4 et cf. Liu. 43.22.4),D,,Schambach  ,1881 13-14 n. 6 (cf. BC 3.4.3),DC,,Klotz,dubitanter (cf. BC 3.4.3),,,,,,,,,,,,,,,,,,,,,,,
,34,5,ciliciam,U T,,,ciliam,M S,,,siciliam,V,,,,,,,,,,,,,,,,,,,,,,,,,
,35,2,[P.],ς ,,teste Oudendorp,P,M U S T V,,,Cn.,,Beroaldus,,,,,,,,,,,,,,,,,,,,,,,,
,35,2,Cappadocia,ς ,,teste Nipperdey,cappado(t/c)i(a)e,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,2,adductum,U,,(cf. 71.2 et Cic. Ver. 2.1.29),abductum,M S T V,,(de corruptela u. ad 57.5) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,2,suo regno,M U S,,,regno suo,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35,2,substitisse ,,Bentley,,substitisset,M U,,,substitisset et,S T V,,,,,,,,,,,,,,,,,,,,,,,,,
,35,3,siluestre <est> pertinens,,Aldus,(cf. BC 2.24.3),siluestrem pertinens,M U S T V,,,ac siluestre pertinet,,Schneider,(cf. BG 8.14.4) ,,,,,,,,,,,,,,,,,,,,,an siluestre <est et perpetuum> pertinens (cf. Curt. 5.4.9)?,,
◊,35,3,has esse certas <constat> opportunitates,,scripsimus,"(cf. 31.6), nisi mauis cum ς teste Oudendorp post opportunitates <constat> supplere ",has esse certas opportunitates,M U S T V,,,hae erant certae opportunitates ,ς ,,teste Oudendorp,has esse [certas] opportunitates ,,Scaliger,,has esse certas opportunitates <cognouerat>,,Klotz,,has esse cernebat opportunitates,,Vielhaber ,(cf. BC 3.69.4),has est secutus opportunitates,,Larsen,coll. BC 1.1.3 et Cic. Off. 1.35,duas est consecutus opportunitates,,Landgraf ,1891b coll. BC 1.39.4,,,
,35,3,hostium,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an secludendum ut glossema?,,
,36,3,castra,U,,,sex castra,M,,,et castra,S,,,ex castra,T V,,,,,,,,,,,,,,,,,,,,,
,36,3,passuum,M U T,,per compendia,passus,S V,,per compendia,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,4,equites,M U S,,,equiter,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,4,obuersari,M U S,,(cf. Liu. 38.1.8),obseruari,T V,,(cf. Liu. 3.22.6),,,,,,,,,,,,,,,,,,,,,,,,,,,
◊,36,5,siue amicus siue inimicus,M U S T V,,", quam lectionem defendit Hoffmann 1890 LIV (cf. 74.3 et u. infra) ",si amicus [siue inimicus],,Aldus,,siue amicus [siue inimicus],,Nipperdey,(u. et infra),,,,,,,,,,,,,,,,,,,,,,,
,36,5,tamquam amicorum aduentu,M U S T V,,,[tamquam amicorum aduentu] ,,Gruterus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,36,5,aduentu sin,,Hoffmann,1857 (cf. 24.1),aduentus,M U S T V,,,aduentu sin uero ,ς ,,teste Oudendorp,aduentu siue inimicus,,Nipperdey,"coll. Cic. Phil. 14.13, Fin. 1.3 (u. et supra)",aduentu siue,,Forchhammer,1886 92 Nipperdey supra secutus,aduentu si,,Andrieu,(de coniunctione iterata cf. BC 3.78.3),,,,,,,,,,,
,37,1,numquam tamen,M U,,,numquam tamen non,S T V,,('vix de vulgari negationum cumulatione cogitare licet' Klotz),,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,2,cum uereretur,S,,(cf. Hirt. 8.44.1),uereretur,T V ,,,ueritus,M U,,,,,,,,,,,,,,,,,,,,,,,,,
,37,3,contulit,S ,,,contulit rex,M U T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,3,nostri,M U S,,,nostris ,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,37,5,constituta,,Nipperdey,(cf. BG 7.70.5),instituta,M U S T V ,,(cf. BG 3.24.1),,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,2,Domitio,U S T,,,domitium ,M,,,domino,V,,,,,,,,,,,,,,,,,,,,,,,,,
,38,3,<locum> nostris,,Schneider,(cf. Nep. Milt. 5),nostris ,M U S T V,,(cf. BC 3.45.3),,,,,,,,,,,,,,,,,,,,,,,,,,omission in M U S T V,
,39,1,sine causa discederet,M U S T V,,(cf. BG 4.27.5),si negatis (sc. conditionibus) discederet,,Hoffmann,1890 (cf. BC 1.84.2),si recusatis cederet,,Kraner,(cf. Liu. 30.16.14 et BG 6.23.2),,,,,,,,,,,,,,,,,,,,,,,
,39,2,in subsidiis,ς ,,teste Oudendorp (cf. BC 1.83.1 et Fron. Str. 2.3.21),in insidiis ,M U S,,,insidiis,T V,,,,,,,,,,,,,,,,,,,,,,,,,
◊,40,2,aduersa,,Madvig,(cf. 20.5 et u. infra),auersa,M U S T V,,(u. TLL 2.1323.63-66 ‘de fugientibus’),,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,2,circumire ac transcendere,,Nipperdey,(cf. BC 3.46.3),circumire acies secundo,M U S T V,,,circumire acies secunda,,Lipsius,"teste Oudendorp, sensu et uerborum ordine repugnante",circumire acie secunda,,Madvig,(u. TLL 1.409.41-81 ‘i. q. proelium’ et supra),circumire [acies] secundo (sc. post recessum?),,Gruterus,,circumire [acies secundo],,Dauisius,1727 ut glossema ineptum ad 40.1 (u. et infra),transire ut secunda acies,,Ciacconius,dubitanter,,,,,alii alia,,
,40,2,transitu,M U S T V,,,circuitu,,Dauisius,1727 (u. et supra),,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,2,aperto,M U S T V,,(cf. BG 1.25.6),ab aperto,,Landgraf,1888 (cf. BC 3.86.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,2,uix,M U S T V,,,uix primum,,Dinter,(cf. BG 6.37.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,3,sustinuit magnis,M U S T V,,,sustinuit <et> magnis,,Madvig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,4,tricesima sexta <legio>,ς ,,teste Dübner,XXXVI,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,omission in M U S T V,
,41,1,destinaret,M U S T V,,", quod defendit Klotz coll. Cic. Fam. 7.23.3",spe destinaret,,Larsen,coll. Liu. 29.20.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,2,defendente,M U S Vac,,,detendente,T Vc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,2,exercitus alendos,M,,(cf. 67.1 et Liu. 23.48.7),exercitum alendos,U T V,,,exercitum alendum,S,,(cf. Liu. 22.32.3),,,,,,,,,,,,,,,,,,,,,,,
,42,2,ne quo,M U S,,,neque uero,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,3,parta,Mmr,,(cf. Cic. Leg. agr. 1.5),parte,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,3,illum,M U S T V,,,Illyricum,,Schneider,coll. 47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,3,Iadertinorum,M U S T V,,,Iadestinorum,,Klotz,coll. CIL III 2919 etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,4,reliquiis,,Aldus,1574 (cf. 40.5),reliquis,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42,4,contulisse,ς ,,teste Oudendorp,compulisse,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,1,qua,M Uc T V,,(u. TLL 10.1.1449.39-51),quo,Uc,,ut uidetur,que,S,,,quam,,Schneider ,(u. TLL 10.1.1447.16-27),,,,,,,,,,,,,,,,,,,
,43,1,auspicioque,,Lipsius,teste Oudendorp (cf. Liu. 5.46.6),ausuque,M U S,,"(u. TLL 2.1563.67-1564.4, et cf. 1563.35 'ab ineunte saeculo IV')",ausioque,T V,,,,,,,,,,,,,,,,,,,,,,,an secludendum ut glossema (cf. BC 1.7.7)?,,
,43,1,supportare,,Nipperdey,,su(b/p)portari,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,2,cogeretur,M U S T V,,,conaretur,,Larsen,'castella oppugnare non expugnare propter inopiam potuit' (cf. BC 3.40.5),,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,3,quo,M,,,quod,U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,3,Salonam,M U S,,,Salonem,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,3,se recepit,ed.pr.,,,se receperit,U T V ,,per compendia,rse receperit,M,,,receperit,S,,(sed u. 43.2),,,,,,,,,,,,,,,,,,,
,43,3,pressus paucis,M U S,,,passus paucis,T Vc,,,paucis passus,Vac,,,,,,,,,,,,,,,,,,,,,,,,,
,44,1,Illyrico cum,,Stephanus,,Illyricum cum,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,1,classe,S,,(cf. Cic. Ph. 10.12 exercitu),classem,M U T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,2,ad Q.,M T V,,(u. BC 3.55.1-4),atque,U S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,3,magnitudo nequaquam,,Larsen,(cf. BC 3.109.2),magnitudine quam non,M,,,magnitudine quamquam non,U,,,magnitudine quaquam,S,,,magnitudine quamquam,T V,,,,,,,,,,,,,,,,,
,44,3,iusta ad,M U,,(cf. Cic. Att. 9.15.3),iuxta ad,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,4,has adiunxit,,scripsimus,(cf. BC 3.89.1),has adiuctas,M,,,has adiunctas,U S T V,,,his adiunctis,,Vascosanus,(de usu cf. 34.4),,,,,,,,,,,,,,,,,,,
,45,1,cum Vatinium,M U V,,,eum uatinium,T,,,eum uatinium cum,S,,,,,,,,,,,,,,,,,,,,,,,,,
,45,1,classem magna,S,,,classem magnam,M,,,classe magna,U T V,,,,,,,,,,,,,,,,,,,,,,,,,
,45,1,non quo,S T V,,(cf. 30.3),non quod,M U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,1,Octauium ibi,U S T,,,actium ibi,M,,,ibi octauium,V,,,,,,,,,,,,,,,,,,,,,,,,,
,45,2,distentis,,Hoffmann,1857 (cf. 17.3),distensis,M U S,,,distersis,T V,,,dispersis,,Nipperdey,(cf. 42.3),,,,,,,,,,,,,,,,,,,
,45,3,demittique,,Vascosanus,(cf. 45.2),dimittique,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,3,quo pugnandi dabat signum,M U S T V,,(cf. BC 3.89.5),[quo pugnandi dabat signum],,Kübler,ut glossema,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,3,significabat,M U ,,,significabant,S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,4,parati deinceps,M U T V,,,deinceps,S,,,paratis (sc. Vatinianis) deinceps,,Klotz,dubitanter (cf. BC 1.28.4 reprehensas),,,,,,,,,,,,,,,,,,,,,,omission in S,
◊,46,1,fortuitae dimicationi [fortunae] rem committere maluit,,Klotz,"auctore Hoffmann 1857 (cf. Liu. 25.12.5 impetu fortuito), qui et post fortuitae <tamen> suppleuit",fortuitae dimicationi fortunae rem committere maluit,M U S V,,,fortunae rem committere noluit,T,,(cf. Liu. 9.12.11),futurae dimicationi fortunae rem committere maluit,ς,,"teste Oudendorp (de genitiuo u. TLL 5.1.1197.21-34, et de adiectiuo cf. BC 1.52.1)",futurae dimicationi fortunae <tamen quam fugae> rem committere maluit,,Kübler,(sed cf. BC 1.72.3 et u. TLL 8.201.78-202.8),,,,,,,,,,,,,,,
,46,2,contra illo remigant,M,,(cf. BG 7.28.1 contra ueniretur),contra illum remigantem,S V,,,contra illo remigantem,U T,,,,,,,,,,,,,,,,,,,,,,,,,
,46,3,nam cum,M U S,,,nautum,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,4,erant Vatiniani,M U S,,,Vatiniani,T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,4,dubitabant,U S T V,,et M supra lineam,dubitarent,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
◊,47,2,ex,M U S T V,,(cf. BAfr 40.5),[ex],,Schneider,coll. 16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,2,penterem,,Stephanus,(cf. BAfr 62.5),penteremem,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,2,remiges Octauianos,M U S T V,,(cf. 16.6),celoces Octauianas,,Stadler,(cf. Liu. 21.17.5),,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,2,die,M U S T V,,,die fuit,ed.pr.,,(cf. BAfr 89.3),,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,2,consumpto post,ς ,,teste Oudendorp (cf. 66.1),post,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,3,ea,M,,,eum,U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,1,Q. Cassius,M U,,(u. BC 2.21.4),quae cassius,T V ,,,cassius,S,,,,,,,,,,,,,,,,,,,,,,,,omission in S,
,48,1,quod (sc. odium) uel,ed.pr.,,,quo uel,M U S T V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,48,1,multis,U T V,,(cf. Cic. Caec. 104),mutis,M ,,feliciter (u. TLL 8.1735.23-62 'tacent res ... inanimae'),mutus,S,,,,,,,,,,,,,,,,,,,,,,,,,
