Verse,Line,Lemma,Witness,Source,Ed. Comment,Gen. Comment,Second R.,Witness,Source,Comment,Third R.,Witness,Source,Comment,Fourth R.,Witness,Source,Comment,Fifth R.,Witness,Source,Comment,,,,,,,,,,,,,
31,,PINGVI,Γ ,,,,Pinguae,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,νέαν ἰλύν,F ,,,,ΝЄaΝ ΝЄΙΛΥΝ,F,,,neaneiayn,Γ ,,,,,,,,,,,,,,,,,,,,,,,
31,,Georgicis,Γ ,,,,georgius,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,montibus,F Γ ,,,,rupibus,,Verg.,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,amnes,Γ,,,,amnes et,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,viridem,Γ ,,,,viridum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,agmini,G ,,,,agmmi,F ,,,agmmine,Fh3 ,,,agmine,T v,,,,,,,,,,,,,,,,,,,
36,,interrogantis,Γ ,,,,terrogantis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,distinguendum,Γ ,,,,distinguent dum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,Ennianum,θ º ,,,,enniarum,Q ,,,iniarum,F ,,,,,,,,,,,,,,,,,,,,,,,
38,,eia machaeras,Γ ,,,,heia machera,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,a,T ,,,,ad,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,actum,,Murgia,,,tactum,,Schoell,(Thilo in app.),hac tu,F ,,,actae,T ,,,in actu,,Thilo,in app.,,,,,,,,,,,,,
38,,imaginatione,,Schoell,,,et imaginatione,,Dan.,,et maginatione,F ,,,sub ... imagitione,T,,(sic),,,,,,,,,,,,,,,,,
38,,exclamasse,T ,,,,et clamasse,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,PRAECEPERAT,F ,,,,p.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,AGGERE,,Verg.,,,agge,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,aggeris,T v,,,,aggeres,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,ira et,Γ ,,,,irae,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,cl(a)udunt,T,Masv.,,,ludunt,F,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,illa,F ,,,,haec,,"codd. T erentii, codd. Servii",ad A . 4.295,,,,,,,,,,,,,,,,,,,,,,,,,
47,,qui equitum,Γ ,,,,quietum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,MACVLIS,Γ ,,,,Macuculis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,thratius,F ,,,,t.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,maculas(1),T v,,,,maculis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,album,Γ ,,,,abbum,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,TEGIT,Γ ,,,,tege,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,cristas,v,,,,cristas,F,,ex cristans,cristras,T ,,,,,,,,,,,,,,,,,,,,,,,
50,,rubras,v,Dan.,,,rubans,F ,,,rubreas,T ,,,,,,,,,,,,,,,,,,,,,,,
52,,eclipsis,T v,,,,elipsis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,festinationis,F ,,,,est festinationis,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,gratia,F ,,,,gratia facta,T v,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,fetialium proficiscebatur,Γ ,,,,fenalium proficiscibatur,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,nec obnoxios,Γ ,,,,ne obnoxios,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,redderent,F Γ ,,,,reddiderant,γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,hasta,T vΓ ,,,,astam,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,pugnae,F T v Ah2 Pa Pc γ W ,,,,pugnare,θ Q N [Γ ],,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,locum(1),F ,,,,lucum,T ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,solemnitatem,T ,,,,sollemnitate itatem,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,celebrarent,T ,,,,celebrant,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,flamminio,T ,,,,flumineo,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,ut(2),T ,,,,at¯ <¯ABOVE t>,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,indicendi,T,,,,iudicendi,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,ante aedem,T ,,,,antea dem,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,columna,F ,,,,columna bellone,T ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Caleno ita,T ,,,,calencita,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,introituri erant,T ,,,,introitum rerant,F ,,,introitum ierant,,Dan.,,,,,,,,,,,,,,,,,,,,,,
53,,ominis,T ,,,,omnis,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,bene,T ,,,,be,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,duci,,Dan.,,,duce,F T ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,hac,T ,,,,hoc,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Aenean ... quod,F ,,,,scienter aeneam fecisse qui cum,T ,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,et(2) ... Turni(2),F Pa Pc ,,,,om.,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,eum(1),Pa Pc ,Thilo,,,eos,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,clamorem(2),Pa Pc ,,,,clamarem,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,diu incolere,,Dan.,,,diuini colore ,F ,,(sic),incolere,T v,,,,,,,,,,,,,,,,,,,,,,,
57,,dicebant,,Dan.,,,ducebant,F ,,,ponebant,T ,,,,,,,,,,,,,,,,,,,,,,,
58,,avia nullus,Γ ,,,,aviam illus,F ,,,aviam nullus,Q N ,,,via nullus,Pah1 ,,,,,,,,,,,,,,,,,,,
60,,et saepta ovium,F Γ ,,,,ovium vel sepimenta ovilium,,Isid.,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,autem,F,Isid.,,,enim,Γ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,αὐλάς,F Γ ,,,,aulas,F Γ,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,tribunalibus,,Dan.,,,tibunalibus,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,caulas,,"Salm. (1629, 922)",,,clausas,F ,,,,,,,,,,,,,,,,,,,,,,,,,,,
